Separation [km],count,norm,cdf,pdf,cdf_err,pdf_err
0.0,404.9510275623093,1.776100998080304,100.00000000000001,0.13020629501895709,7.105427357601002e-15,26.197489721684477
5.0,324.78047373381,1.9925182437657059,73.94197857217863,0.11715316749521378,1.6917503541794296,24.90647804707133
10.0,181.03208714192226,6.962772582381625,53.04281801234679,0.22819156490750792,2.2247103239324346,34.813862911908124
15.0,110.67851375441293,4.6116047397672055,41.39366123834259,0.0924011152789309,2.411696864326826,21.905122513894224
20.0,129.07790979552345,7.170994988640192,34.27165663355579,0.16756880047425327,2.3947333647990376,30.476728701720816
25.0,14.63705551575704,2.0910079308224345,25.965677119051154,0.005540783970213615,2.070292635355864,5.750271809761696
30.0,36.0,1.0,25.023803459498286,0.006517249065691504,2.0675017454122786,5.75
35.0,30.40815903197926,2.534013252664938,22.707254771997476,0.013949570223539135,2.061525636097956,8.23554307116105
40.0,12.339865539804933,2.4679731079609866,20.750533080473943,0.005513313247779505,2.023712770833895,5.55293949291222
45.0,17.75106365802684,1.9723404064474268,19.95648032158029,0.006338231115879127,1.9983608684244771,5.423936117730424
50.0,13.675823036736046,6.837911518368023,18.814224676615144,0.016929290873030346,1.997450783286777,8.547389397960028
55.0,35.75353379872523,3.5753533798725226,17.93420495699725,0.023141940018406942,1.9448082254272352,11.619898484585699
60.0,7.596524562979341,3.7982622814896705,15.633516018248569,0.005223501393973909,1.842667589265023,4.747827851862088
65.0,201.7796220808649,4.117951471038059,15.144690490305864,0.15042511295339878,1.8168029639628722,27.796172429506896
70.0,0.0,4.986861302832606,2.1604594154215397,0.0,0.8325914536835077,0.0
75.0,0.0,7.533369115866888,2.1604594154215397,0.0,0.8325914536835077,0.0
80.0,25.901628830762586,4.316938138460431,2.1604594154215397,0.0202425266005927,0.8325914536835077,9.71311081153597
85.0,0.0,6.284158783687234,0.4937265189760942,0.0,0.3922519577767961,0.0
90.0,0.0,77.1540350877193,0.4937265189760942,0.0,0.3922519577767961,0.0
95.0,7.672687726807481,7.672687726807481,0.4937265189760942,0.01065753736263155,0.3922519577767961,5.75451579510561
