d,L,MLT,AE,burst_num,burst_rate
0,6.0,0.0,500.0,135.0,0.0187
0,7.0,22.0,500.0,127.0,0.0111
0,5.0,23.0,500.0,105.0,0.0106
0,5.0,0.0,500.0,164.0,0.0106
0,5.0,7.0,500.0,108.0,0.0092
5,6.0,0.0,500.0,100.0,0.0187
5,7.0,22.0,500.0,125.0,0.0111
5,5.0,0.0,500.0,137.0,0.0106
5,7.0,22.0,400.0,126.0,0.0087
5,7.0,21.0,100.0,100.0,0.0069
10,7.0,22.0,500.0,117.0,0.0111
10,5.0,0.0,500.0,119.0,0.0106
10,7.0,22.0,400.0,114.0,0.0087
10,7.0,0.0,100.0,101.0,0.0069
10,6.0,22.0,500.0,169.0,0.0065
15,7.0,22.0,500.0,117.0,0.0111
15,5.0,0.0,500.0,119.0,0.0106
15,7.0,22.0,400.0,112.0,0.0087
15,6.0,22.0,500.0,158.0,0.0065
15,5.0,0.0,300.0,113.0,0.005
20,7.0,22.0,500.0,114.0,0.0111
20,5.0,0.0,500.0,119.0,0.0106
20,7.0,22.0,400.0,109.0,0.0087
20,6.0,22.0,500.0,154.0,0.0065
20,5.0,0.0,300.0,109.0,0.005
25,6.0,22.0,500.0,135.0,0.0065
25,5.0,0.0,300.0,107.0,0.005
25,6.0,22.0,400.0,250.0,0.0047
25,7.0,0.0,0.0,112.0,0.004
25,5.0,22.0,500.0,168.0,0.0034
30,6.0,22.0,500.0,121.0,0.0065
30,6.0,22.0,400.0,245.0,0.0047
30,7.0,0.0,0.0,108.0,0.004
30,5.0,22.0,500.0,163.0,0.0034
30,5.0,9.0,500.0,114.0,0.0031
35,6.0,22.0,500.0,112.0,0.0065
35,6.0,22.0,400.0,231.0,0.0047
35,5.0,22.0,500.0,154.0,0.0034
35,7.0,21.0,0.0,121.0,0.0027
35,5.0,22.0,400.0,216.0,0.0024
40,6.0,22.0,500.0,104.0,0.0065
40,6.0,22.0,400.0,132.0,0.0047
40,5.0,22.0,500.0,153.0,0.0034
40,7.0,21.0,0.0,109.0,0.0027
40,5.0,22.0,400.0,135.0,0.0024
45,5.0,22.0,500.0,120.0,0.0034
45,7.0,21.0,0.0,107.0,0.0027
45,5.0,22.0,400.0,101.0,0.0024
45,6.0,0.0,0.0,102.0,0.0021
45,5.0,23.0,0.0,102.0,0.0016
50,4.0,23.0,0.0,128.0,0.0014
50,7.0,22.0,0.0,106.0,0.0013
50,5.0,21.0,0.0,100.0,0.0009
50,6.0,22.0,0.0,111.0,0.0007
50,4.0,21.0,0.0,211.0,0.0006
55,4.0,23.0,0.0,126.0,0.0014
55,7.0,22.0,0.0,105.0,0.0013
55,6.0,22.0,0.0,104.0,0.0007
55,4.0,21.0,0.0,202.0,0.0006
55,7.0,10.0,0.0,107.0,0.0005
60,4.0,23.0,0.0,118.0,0.0014
60,7.0,22.0,0.0,104.0,0.0013
60,4.0,21.0,0.0,196.0,0.0006
60,5.0,9.0,0.0,141.0,0.0004
60,4.0,11.0,0.0,132.0,0.0004
65,4.0,21.0,0.0,182.0,0.0006
65,5.0,9.0,0.0,107.0,0.0004
65,4.0,11.0,0.0,130.0,0.0004
65,4.0,20.0,0.0,124.0,0.0004
65,5.0,22.0,0.0,110.0,0.0004
70,4.0,21.0,0.0,168.0,0.0006
70,4.0,11.0,0.0,128.0,0.0004
70,4.0,20.0,0.0,122.0,0.0004
70,5.0,22.0,0.0,100.0,0.0004
70,4.0,8.0,0.0,116.0,0.0003
75,4.0,21.0,0.0,124.0,0.0006
75,4.0,11.0,0.0,109.0,0.0004
75,4.0,8.0,0.0,101.0,0.0003
75,4.0,12.0,0.0,134.0,0.0003
75,4.0,22.0,0.0,179.0,0.0003
80,4.0,12.0,0.0,119.0,0.0003
80,4.0,22.0,0.0,158.0,0.0003
80,4.0,10.0,0.0,147.0,0.0002
85,4.0,12.0,0.0,106.0,0.0003
85,4.0,22.0,0.0,108.0,0.0003
85,4.0,10.0,0.0,124.0,0.0002
90,4.0,10.0,0.0,108.0,0.0002
95,4.0,10.0,0.0,108.0,0.0002
100,4.0,10.0,0.0,107.0,0.0002
105,4.0,10.0,0.0,106.0,0.0002
110,4.0,10.0,0.0,106.0,0.0002
115,4.0,10.0,0.0,106.0,0.0002
120,4.0,10.0,0.0,106.0,0.0002
125,4.0,10.0,0.0,106.0,0.0002
130,4.0,10.0,0.0,106.0,0.0002
135,4.0,10.0,0.0,104.0,0.0002
140,4.0,10.0,0.0,104.0,0.0002
145,4.0,10.0,0.0,102.0,0.0002
