,4.0,5.0,6.0,7.0
0,32842.0,12111.0,6707.0,4299.0
25,72203.0,41250.0,18701.0,9082.0
50,46622.0,36535.0,27661.0,19242.0
75,35508.0,24619.0,20273.0,17226.0
100,29503.0,20640.0,14501.0,10958.0
125,22938.0,19042.0,13846.0,10578.0
150,17845.0,16447.0,12791.0,10496.0
175,14146.0,15269.0,10114.0,10603.0
200,13241.0,11970.0,9676.0,8182.0
225,13884.0,10005.0,9717.0,4500.0
250,17335.0,8018.0,8918.0,5599.0
275,19564.0,7969.0,6381.0,6676.0
300,23235.0,8025.0,6401.0,5826.0
325,27270.0,8353.0,6367.0,5542.0
350,30993.0,8603.0,6316.0,4519.0
375,34705.0,9790.0,5538.0,6076.0
400,37655.0,12188.0,6221.0,5137.0
425,39982.0,16063.0,6477.0,4134.0
450,40309.0,18894.0,7339.0,7133.0
475,40865.0,19693.0,8305.0,7231.0
500,40781.0,19837.0,9757.0,7631.0
525,39407.0,20036.0,10827.0,7456.0
550,38257.0,20934.0,12255.0,6037.0
575,36695.0,21740.0,12892.0,6403.0
600,35351.0,22825.0,13110.0,7732.0
625,33700.0,24013.0,13769.0,8606.0
650,30753.0,24926.0,14126.0,6990.0
675,28548.0,24716.0,14911.0,8321.0
700,26753.0,23569.0,15412.0,10326.0
725,24447.0,22841.0,15439.0,11876.0
750,22121.0,22891.0,16152.0,11815.0
775,20492.0,21328.0,17207.0,11132.0
800,19318.0,20111.0,17389.0,11886.0
825,17720.0,20393.0,15923.0,13190.0
850,16616.0,20343.0,14639.0,13619.0
875,16065.0,19261.0,13718.0,13233.0
900,15341.0,19141.0,13457.0,13384.0
925,14726.0,18364.0,12383.0,13394.0
950,13878.0,17062.0,12211.0,12447.0
975,13188.0,16479.0,12227.0,11596.0
1000,12648.0,15716.0,12598.0,9797.0
1025,12124.0,14533.0,13227.0,9252.0
1050,11353.0,13908.0,12956.0,9373.0
1075,10635.0,13460.0,12451.0,9791.0
1100,10202.0,12822.0,12386.0,9284.0
1125,9670.0,12184.0,12375.0,8898.0
1150,8995.0,11632.0,12149.0,8828.0
1175,8482.0,11418.0,11947.0,8273.0
1200,8190.0,11197.0,11218.0,7475.0
1225,7901.0,10710.0,11169.0,7254.0
1250,7533.0,10560.0,10615.0,7982.0
1275,7220.0,10254.0,9819.0,8692.0
1300,7177.0,10066.0,9677.0,7917.0
1325,6886.0,9672.0,9237.0,7035.0
1350,6758.0,9322.0,8889.0,6927.0
1375,6527.0,9150.0,8847.0,7071.0
1400,6362.0,8780.0,8724.0,6318.0
1425,6103.0,8260.0,8848.0,6238.0
1450,5766.0,8059.0,8681.0,6167.0
1475,5555.0,7979.0,8381.0,6830.0
1500,5412.0,7867.0,8020.0,6954.0
1525,5226.0,7511.0,7789.0,7369.0
1550,4978.0,7155.0,7583.0,7109.0
1575,4857.0,6872.0,7061.0,7639.0
1600,4780.0,6637.0,6904.0,7163.0
1625,4618.0,6474.0,6838.0,6856.0
1650,4572.0,6265.0,6780.0,6906.0
1675,4372.0,6142.0,6320.0,6882.0
1700,4360.0,5900.0,6320.0,6593.0
1725,4452.0,5575.0,6280.0,5772.0
1750,4460.0,5438.0,6181.0,6172.0
1775,4425.0,5316.0,6047.0,5659.0
1800,4444.0,5357.0,5879.0,5827.0
1825,4370.0,5185.0,5591.0,5366.0
1850,4302.0,5036.0,5500.0,5029.0
1875,4390.0,4893.0,5379.0,5117.0
1900,4406.0,4746.0,5378.0,5008.0
1925,4399.0,4611.0,5237.0,4850.0
1950,4380.0,4435.0,4862.0,4929.0
