2016-10-14 00:24:47,2016-10-14 00:27:44
2016-10-14 00:37:52.100000,2016-10-14 00:40:42
2016-10-14 01:11:04.099999,2016-10-14 01:13:43
2016-10-14 01:24:46.100000,2016-10-14 01:27:14
2016-10-14 02:02:26.100000,2016-10-14 02:04:48.899999
2016-10-14 02:16:27,2016-10-14 02:18:58
2016-10-14 02:48:36,2016-10-14 02:51:17.899999
2016-10-14 03:03:44.100000,2016-10-14 03:06:20
2016-10-14 03:39:33,2016-10-14 03:41:44.899999
2016-10-14 03:54:07,2016-10-14 03:56:38.899999
2016-10-14 04:26:09.099999,2016-10-14 04:28:53
2016-10-14 04:42:05,2016-10-14 04:44:31
2016-10-14 22:21:26,2016-10-14 22:24:01.899999
2016-10-14 22:33:42.100000,2016-10-14 22:36:04
2016-10-14 23:12:26,2016-10-14 23:16:11
2016-10-14 23:24:33,2016-10-14 23:27:50.899999
2016-10-14 23:59:13.099999,2016-10-14 23:59:59.799999
