Dist_Total,CDF,PDF
0.0,0.9934959349593496,0.06431472325548533
5.0,0.671922318681923,0.051349884304412216
10.0,0.4151728971598619,0.008192148872616855
15.0,0.3742121527967776,0.006990859179660658
20.0,0.3392578568984743,0.005804401006336168
25.0,0.3102358518667935,-0.0021501495388340673
30.0,0.3209865995609638,0.0055666448771119256
35.0,0.2931533751754042,0.0016192687859749033
40.0,0.28505703124552967,-0.00274773674330413
45.0,0.2987957149620503,-0.0023234553108712696
50.0,0.31041299151640667,-0.001273162517785542
55.0,0.3167788041053344,0.002502386359142084
60.0,0.30426687230962396,-0.004146420333151479
65.0,0.32499897397538136,0.04426390901012596
70.0,0.10367942892475157,-0.0018786303196446613
75.0,0.11307258052297488,-0.0014427922904020896
80.0,0.12028654197498533,0.005107414745572586
85.0,0.0947494682471224,-0.0017844779684401818
90.0,0.1036718580893233,-0.00016026092949102122
95.0,0.10447316273677841,-0.00014259657454958886
100.0,0.10518614560952635,6.237494645899844e-07
105.0,0.1051830268622034,0.0028518847944306756
110.0,0.09092360289005003,2.7755575615628915e-18
115.0,0.09092360289005001,0.0
120.0,0.09092360289005001,-2.7755575615628915e-18
125.0,0.09092360289005003,0.006727412116107822
130.0,0.05728654230951092,0.011457308461902184
135.0,0.0,0.0
140.0,0.0,0.0
145.0,0.0,0.0
150.0,0.0,0.0
155.0,0.0,0.0
160.0,0.0,0.0
165.0,0.0,0.0
170.0,0.0,0.0
175.0,0.0,0.0
180.0,0.0,0.0
185.0,0.0,0.0
190.0,0.0,0.0
