L,MLT,AE,bursts,samples,rate
6.0,0.0,500.0,139.0,3211.0,4.33
5.0,0.0,500.0,165.0,4699.0,3.51
6.0,22.0,400.0,326.0,12651.0,2.58
7.0,22.0,500.0,152.0,6284.0,2.42
5.0,23.0,500.0,113.0,4739.0,2.38
5.0,23.0,400.0,131.0,5571.0,2.35
6.0,0.0,400.0,105.0,4699.0,2.23
6.0,22.0,500.0,201.0,9219.0,2.18
5.0,7.0,500.0,113.0,5450.0,2.07
7.0,22.0,400.0,152.0,8016.0,1.9
5.0,0.0,400.0,143.0,8414.0,1.7
5.0,22.0,500.0,241.0,14738.0,1.64
5.0,0.0,300.0,156.0,9940.0,1.57
4.0,22.0,500.0,340.0,22135.0,1.54
5.0,22.0,400.0,311.0,20990.0,1.48
5.0,9.0,500.0,215.0,15910.0,1.35
5.0,21.0,400.0,114.0,9260.0,1.23
7.0,0.0,100.0,125.0,10202.0,1.23
5.0,23.0,200.0,130.0,10840.0,1.2
7.0,0.0,0.0,205.0,17707.0,1.16
4.0,23.0,0.0,338.0,29374.0,1.15
7.0,21.0,100.0,114.0,10162.0,1.12
4.0,0.0,0.0,278.0,26277.0,1.06
5.0,0.0,200.0,104.0,10504.0,0.99
6.0,0.0,0.0,281.0,28596.0,0.98
7.0,22.0,200.0,110.0,11309.0,0.97
6.0,22.0,300.0,136.0,14218.0,0.96
5.0,8.0,500.0,113.0,11984.0,0.94
6.0,21.0,200.0,112.0,12923.0,0.87
4.0,22.0,400.0,273.0,31392.0,0.87
5.0,10.0,500.0,312.0,36182.0,0.86
5.0,0.0,0.0,292.0,34940.0,0.84
6.0,7.0,300.0,118.0,14132.0,0.83
5.0,7.0,300.0,105.0,13006.0,0.81
5.0,22.0,300.0,169.0,21193.0,0.8
7.0,22.0,100.0,148.0,19027.0,0.78
4.0,21.0,200.0,171.0,21879.0,0.78
5.0,9.0,300.0,194.0,25868.0,0.75
6.0,21.0,100.0,135.0,18019.0,0.75
7.0,23.0,0.0,104.0,14138.0,0.74
6.0,7.0,200.0,142.0,20244.0,0.7
6.0,0.0,100.0,123.0,17818.0,0.69
4.0,21.0,0.0,489.0,71526.0,0.68
5.0,23.0,0.0,206.0,30362.0,0.68
5.0,10.0,400.0,328.0,48060.0,0.68
7.0,21.0,0.0,174.0,26015.0,0.67
6.0,22.0,200.0,131.0,19718.0,0.66
6.0,23.0,0.0,148.0,23689.0,0.62
5.0,22.0,200.0,199.0,31983.0,0.62
7.0,22.0,0.0,319.0,52448.0,0.61
5.0,21.0,200.0,103.0,17910.0,0.58
4.0,22.0,200.0,252.0,43752.0,0.58
4.0,22.0,0.0,804.0,139436.0,0.58
5.0,9.0,400.0,136.0,24388.0,0.56
4.0,11.0,0.0,535.0,103642.0,0.52
5.0,0.0,100.0,120.0,23442.0,0.51
4.0,23.0,100.0,109.0,21537.0,0.51
6.0,22.0,100.0,172.0,34160.0,0.5
4.0,21.0,100.0,198.0,40394.0,0.49
5.0,22.0,100.0,256.0,53223.0,0.48
6.0,10.0,500.0,132.0,28268.0,0.47
4.0,9.0,0.0,614.0,132782.0,0.46
4.0,22.0,100.0,310.0,70457.0,0.44
6.0,9.0,300.0,101.0,23187.0,0.44
5.0,21.0,100.0,119.0,26746.0,0.44
6.0,10.0,400.0,154.0,34880.0,0.44
7.0,11.0,0.0,181.0,43309.0,0.42
5.0,8.0,300.0,108.0,25878.0,0.42
4.0,10.0,0.0,1073.0,253256.0,0.42
5.0,21.0,0.0,231.0,55485.0,0.42
6.0,22.0,0.0,334.0,82205.0,0.41
6.0,21.0,0.0,157.0,38370.0,0.41
6.0,11.0,0.0,213.0,57416.0,0.37
5.0,10.0,300.0,225.0,60586.0,0.37
5.0,9.0,200.0,141.0,40387.0,0.35
6.0,9.0,200.0,115.0,32479.0,0.35
5.0,10.0,200.0,265.0,75939.0,0.35
5.0,22.0,0.0,399.0,116281.0,0.34
4.0,10.0,100.0,394.0,115229.0,0.34
4.0,11.0,100.0,196.0,60190.0,0.33
4.0,12.0,0.0,506.0,153549.0,0.33
4.0,9.0,100.0,242.0,72825.0,0.33
4.0,20.0,0.0,338.0,105281.0,0.32
6.0,10.0,200.0,179.0,58644.0,0.31
4.0,10.0,500.0,137.0,44339.0,0.31
4.0,20.0,100.0,119.0,39635.0,0.3
5.0,9.0,0.0,384.0,129434.0,0.3
5.0,11.0,0.0,237.0,78582.0,0.3
4.0,9.0,200.0,139.0,46446.0,0.3
4.0,10.0,300.0,204.0,70852.0,0.29
6.0,10.0,300.0,134.0,46654.0,0.29
7.0,10.0,0.0,413.0,140476.0,0.29
5.0,10.0,0.0,617.0,215940.0,0.29
4.0,8.0,0.0,431.0,146899.0,0.29
4.0,10.0,200.0,250.0,89704.0,0.28
4.0,11.0,200.0,107.0,38431.0,0.28
4.0,7.0,0.0,118.0,41862.0,0.28
6.0,10.0,0.0,494.0,176879.0,0.28
6.0,10.0,100.0,231.0,85199.0,0.27
5.0,10.0,100.0,270.0,102878.0,0.26
7.0,12.0,0.0,132.0,49974.0,0.26
4.0,10.0,400.0,160.0,62564.0,0.26
7.0,9.0,0.0,237.0,95049.0,0.25
7.0,10.0,200.0,109.0,47398.0,0.23
6.0,12.0,0.0,158.0,74271.0,0.21
7.0,10.0,100.0,146.0,70006.0,0.21
5.0,12.0,0.0,226.0,117507.0,0.19
6.0,9.0,0.0,218.0,114262.0,0.19
4.0,12.0,100.0,139.0,78067.0,0.18
7.0,7.0,0.0,137.0,78300.0,0.17
5.0,9.0,100.0,125.0,72373.0,0.17
5.0,7.0,0.0,129.0,77128.0,0.17
4.0,8.0,100.0,102.0,63991.0,0.16
7.0,17.0,0.0,104.0,68769.0,0.15
5.0,8.0,0.0,184.0,129630.0,0.14
6.0,7.0,0.0,106.0,91111.0,0.12
5.0,19.0,0.0,120.0,116217.0,0.1
